name,order,period,rade,tran_depth_ppm,tran_dur_hr,masse,masse_est,semi_au,st_mass,st_rad,st_teff,st_log_lum,Kmag,insol,t_eq,esm,disposition
TOI-771.01,66,2.32601,1.39609,3279.78913,0.99609,,2.52975,0.02049,0.21210,0.24186,3306.00000,-2.20098,9.66400,14.99576,547.71166,5.58139,Candidate
TOI-1798.02,68,0.43781,1.49970,261.39359,1.30136,,2.85671,0.01079,0.87400,0.78462,5165.24000,-0.40363,9.23700,3391.89564,2124.07819,5.63050,Candidate
HD 15337 b,70,4.75615,1.64000,344.00000,2.49000,7.51000,,0.05220,0.90000,0.86000,5125.00000,-0.32600,7.04400,161.73000,1009.77503,5.65231,Confirmed
TOI-1436.01,71,0.86759,1.43024,321.48409,1.38150,,2.63572,0.01674,0.83200,0.74524,5011.22000,-0.50094,9.71900,1125.50618,1612.11808,3.75454,Candidate
TOI-1238.02,72,0.76458,1.34243,380.00000,1.08000,,2.36690,0.01385,0.60667,0.62326,3853.00000,-1.11277,9.18400,401.93333,1246.23052,5.01734,Candidate
K2-85 b,73,0.68456,1.20000,400.00000,0.81840,,1.86811,0.01300,0.68000,0.68000,4427.00000,-0.81200,9.46600,479.00000,1529.63637,5.59541,Confirmed
TOI-1011.01,74,2.47050,1.44861,250.00000,2.19100,,2.69346,0.03504,0.94000,0.94134,5413.68000,-0.16385,7.10900,558.65379,1353.14883,6.56966,Candidate
L 98-59 b,77,2.25311,0.85000,666.00000,0.99200,0.40000,,0.02191,0.27000,0.30000,3415.00000,-1.94800,7.10100,24.70000,612.68703,5.04351,Confirmed
K2-321 b,79,2.29800,1.95000,1100.00000,1.02682,,4.46133,0.04100,0.60000,0.58000,3855.00000,-1.25400,9.56700,68.55000,667.83311,2.94374,Confirmed
TOI-1235 b,80,3.44471,1.69000,645.00000,2.09400,6.69000,,0.03845,0.63000,0.62000,3997.00000,-1.05400,7.89300,60.30000,773.76968,5.27629,Confirmed
TOI-1450.01,84,2.04393,1.09248,465.19299,1.00894,,1.33439,0.02453,0.47137,0.47360,3407.00000,-1.56499,7.56500,45.24842,721.87289,4.53992,Candidate
TOI-520.01,85,0.52361,1.48616,82.92594,2.30045,,2.81306,0.01505,1.66000,1.52949,7323.00000,0.78255,8.84500,26745.29452,3559.35843,2.86826,Candidate
K2-147 b,87,0.96192,0.73000,654.00000,1.02960,,0.31457,0.01590,0.58000,0.31000,3775.00000,-1.29200,9.99700,200.10000,1049.20733,4.35667,Confirmed
TOI-1435.01,88,0.68583,1.22125,200.00000,1.16900,,1.98942,0.01453,0.87000,0.82354,5142.00000,-0.36941,8.71400,2023.39137,1866.72288,4.53950,Candidate
K2-91 b,89,1.41955,1.10000,1565.00000,0.94500,,1.36760,0.01640,0.29000,0.28000,3622.00000,-1.84100,10.57100,46.00000,753.16123,3.94769,Confirmed
TOI-2211.01,90,3.09117,1.66670,349.19390,1.97148,,3.41755,0.04010,0.90000,0.83439,5253.00000,-0.32094,8.08800,297.06604,1155.50846,4.52060,Candidate
EPIC 206298289.01,91,0.43483,0.96000,762.00000,0.89520,,0.83957,0.00519,,0.33000,3719.00000,-1.36566,11.39500,296.30128,1760.68120,6.85768,Candidate
CoRoT-7 b,92,0.85359,1.68100,350.00000,1.05900,4.07661,,0.01702,0.82000,0.83000,5275.00000,-0.28900,9.80600,1775.35434,1806.67960,4.42991,Confirmed
TOI-863.01,93,0.52513,1.15466,178.82434,1.42551,,1.62724,0.01274,1.00000,0.85030,5655.00000,-0.17643,8.92000,4105.21395,2227.89043,4.29012,Candidate
K2-291 b,94,2.22518,1.58900,280.00000,1.71900,6.49000,,0.03261,0.93000,0.90000,5520.00000,-0.16600,8.35300,633.00000,1400.82692,4.30992,Confirmed
Kepler-42 c,95,0.45329,0.73000,1560.00000,0.44450,,0.31457,0.00600,0.13000,0.17000,3068.00000,-2.62000,11.46500,82.12000,795.21443,3.71897,Confirmed
GJ 9827 c,96,3.64810,1.24100,361.00000,1.82640,,2.07134,0.03925,0.61000,0.60000,4305.00000,-0.94200,7.19300,73.00000,816.84574,4.24721,Confirmed
TOI-1748.01,98,1.83186,1.52990,403.12197,1.42112,,2.95506,0.02714,0.79500,0.76823,4875.00000,-0.52243,9.15600,407.62050,1250.61572,4.05545,Candidate
Kepler-78 b,99,0.35501,1.20100,217.00000,0.81400,1.68000,,0.00901,0.78000,0.75000,5058.00000,-0.49800,9.58600,4070.00000,2201.39250,4.29993,Confirmed
TOI-1757.01,100,2.12569,1.67801,570.68588,1.46497,,3.45700,0.02863,0.69300,0.70716,4428.00000,-0.76144,9.60200,211.28027,1061.14471,3.82105,Candidate
EPIC 220674823 b,101,0.57129,1.72500,284.70000,1.53200,8.21000,,0.01326,0.95000,0.99000,5532.00000,-0.11900,10.34400,4670.00000,2257.03408,3.70708,Confirmed
TOI-2266.01,102,2.32634,1.97632,4153.61444,1.21951,,4.56404,0.02114,0.23304,0.26116,3244.00000,-2.16716,11.01700,15.22097,549.75658,3.93508,Candidate
TRAPPIST-1 b,103,1.51083,1.11600,7378.00000,0.60100,1.37400,,0.01154,0.09000,0.12000,2566.00000,-3.25700,10.29600,4.15000,397.38089,3.86130,Confirmed
K2-137 b,104,0.17972,0.64000,409.35735,0.62880,,0.19629,0.00580,0.46000,0.29000,3697.00000,-1.48400,10.88200,975.31300,1555.41356,3.84682,Confirmed
TOI-1467.01,105,5.97114,1.87211,1437.10860,1.54787,,4.16303,0.05074,0.48883,0.49074,3834.00000,-1.32900,8.56800,18.20856,574.94828,3.91654,Candidate
HD 21749 c,106,7.78993,0.89200,194.00000,2.51500,,0.64520,0.06950,0.73000,0.70000,4640.00000,-0.68600,5.37500,144.77000,711.32402,3.37980,Confirmed
TOI-1746.01,107,2.52533,1.47615,1258.57186,0.98983,,2.78096,0.02681,0.40324,0.41047,3340.00000,-1.72377,9.50100,26.27543,630.15492,3.53385,Candidate
K2-216 b,109,2.17480,1.75000,560.00000,1.84000,8.00000,,0.02800,0.70000,0.72000,4503.00000,-0.72100,9.72100,248.00000,1098.32498,3.72698,Confirmed
LHS 1140 c,110,3.77792,1.16900,2520.00000,1.10000,1.76000,,0.02734,0.19000,0.21000,2988.00000,-2.48800,8.82100,6.16000,401.93944,2.21516,Confirmed
WASP-47 e,111,0.78959,1.80800,258.00000,1.89900,6.77000,,0.01673,1.04000,1.14000,5552.00000,0.03200,10.19200,4895.00000,2191.85544,3.43914,Confirmed
EPIC 211357309.01,113,0.46395,0.53000,323.86413,,,0.09985,0.00373,0.49000,0.27000,3641.50000,-1.48577,9.88500,395.74340,1937.79820,6.96081,Candidate
TOI-1799.01,115,7.09385,1.62771,284.23811,2.51076,,3.28293,0.07249,1.01000,0.95694,5690.00000,-0.06309,7.38100,164.55490,996.86783,3.43716,Candidate
K2-229 b,116,0.58422,1.00000,162.50000,1.50000,2.49000,,0.01310,0.87000,0.79000,5315.00000,-0.38900,9.05000,2379.34495,1943.90139,3.23090,Confirmed
K2-36 b,117,1.42261,1.43000,345.00000,1.12320,4.30000,,0.02288,0.79000,0.72000,4916.00000,-0.57000,9.45400,519.00000,1325.35392,3.33006,Confirmed
TOI-253.01,118,3.51049,1.33539,311.96168,2.16611,,2.34587,0.03875,0.63000,0.63937,4037.00000,-1.00956,7.33800,65.13859,790.71408,3.43506,Candidate
Kepler-10 b,119,0.83749,1.47000,191.90000,1.81100,3.26000,,0.01685,0.91000,1.06000,5708.00000,0.05500,9.49600,3820.00000,2213.14529,3.45924,Confirmed
TOI-2023.01,120,11.19005,1.66082,567.79899,2.97415,,3.39709,0.09164,0.82000,0.69599,4958.00000,-0.57887,7.10500,31.40008,658.85913,3.32940,Candidate
TOI-270 b,121,3.36015,1.20600,972.96000,1.38700,1.58000,,0.03197,0.39000,0.38000,3506.00000,-1.71200,8.25100,19.93000,581.01663,3.55847,Confirmed
K2-199 b,122,3.22540,1.73000,726.00000,2.01700,6.90000,,0.03820,0.71000,0.68000,4491.00000,-0.73300,9.62500,116.20000,933.85231,3.60480,Confirmed
K2-265 b,124,2.36917,1.71000,319.40000,2.26600,6.54000,,0.03376,0.92000,0.98000,5477.00000,-0.18000,9.25900,579.68909,1365.71053,3.12658,Confirmed
EPIC 211428897.01,125,1.61089,0.82000,696.00000,1.20480,,0.47719,0.01270,0.40000,0.30000,3511.00000,-1.63900,9.62400,58.47460,961.56857,5.02849,Candidate
TOI-801.01,126,0.77570,0.86202,38.70876,1.28156,,0.57080,0.01770,1.23000,1.35609,6283.39000,0.41205,6.74300,8240.80355,2651.87023,2.85626,Candidate
TOI-1846.01,127,3.93067,1.79020,1637.19843,1.43051,,3.85852,0.03604,0.40435,0.41145,3512.00000,-1.63445,9.59600,17.85987,572.17579,3.06292,Candidate
K2-233 b,128,2.46750,1.34300,300.72807,1.98800,,2.36860,0.03308,0.79000,0.71000,5033.00000,-0.52300,8.37500,273.00000,1132.47110,3.45240,Confirmed
L 98-59 d,130,7.45073,1.58000,1542.00000,0.47500,2.31000,,0.05060,0.31000,0.31000,3412.00000,-1.94800,7.10100,5.01000,403.16667,2.54226,Confirmed
TOI-2104.01,132,3.27231,1.46625,360.00000,1.85900,,2.74937,0.04004,0.80000,0.72376,4907.00000,-0.56286,8.65200,170.63407,1005.94981,2.94864,Candidate
Kepler-21 b,133,2.78582,1.63900,62.17000,3.48340,7.50000,,0.04340,1.41000,1.90000,6305.00000,0.71500,6.94500,2749.00000,2016.34579,2.81700,Confirmed
TOI-797.01,136,1.80081,1.28617,691.13750,1.12620,,2.20096,0.02255,0.47147,0.47370,3607.00000,-1.46571,9.55700,67.32074,797.25471,3.22613,Candidate
TOI-286.01,138,4.51172,1.40885,313.00000,1.78500,,2.56912,0.05082,0.86000,0.79360,5116.00000,-0.41038,7.85100,150.52736,974.90823,3.29847,Candidate
TOI-2278.01,139,1.46633,1.88725,920.00000,0.44700,,4.22034,0.01696,0.30271,0.32274,3412.00000,-1.89557,10.09500,44.21343,717.70906,2.75227,Candidate
TOI-260.01,140,13.47582,1.72679,701.00000,1.75000,,3.62934,0.09501,0.63000,0.61817,4049.00000,-1.03369,6.54900,10.25162,498.03282,2.77595,Candidate
TOI-266.02,141,6.19132,1.73923,345.24026,3.41640,,3.67387,0.06679,1.03700,0.91892,5784.00000,-0.06984,8.44900,190.86098,1034.52065,2.70627,Candidate
EPIC 201606542.01,144,0.44437,1.22000,186.05040,,,1.98213,0.03165,,0.82000,5540.00000,-0.24364,10.19100,569.61891,1359.74033,1.16067,Candidate
TOI-512.01,145,7.18873,1.52546,285.25800,2.95058,,2.94050,0.07090,0.92000,0.88267,5336.00000,-0.24484,7.79700,113.21001,907.88552,2.50585,Candidate
EPIC 201650711.01,148,0.25967,0.77000,104.66992,,,0.38085,0.00995,,0.69000,4340.00000,-0.81765,9.30900,1537.93173,1742.98698,1.99504,Candidate
TOI-741.01,149,7.57683,0.86015,289.00000,2.07300,,0.56637,0.06081,0.52247,0.52528,3745.00000,-1.31072,5.58700,13.22425,530.76549,2.46023,Candidate
TOI-1080.01,150,3.96535,1.43261,4770.26147,0.98745,,2.64314,0.02711,0.16899,0.19999,3227.00000,-2.40810,10.17000,5.31794,422.66444,2.52178,Candidate
K2-122 b,151,2.21930,1.16000,432.00000,1.23600,,1.65436,0.03730,0.63000,0.59000,4009.00000,-1.10200,9.27500,79.90000,764.19724,1.80525,Confirmed
TOI-2077.01,153,6.11558,1.51797,318.00000,1.95000,,2.91603,0.06342,0.91000,0.84591,5284.00000,-0.29881,8.63100,124.94005,930.54054,2.03378,Candidate
K2-201 b,154,1.05979,1.40000,251.40000,1.74960,,2.54180,0.02007,0.96000,0.88000,5507.00000,-0.27600,10.19800,1315.16342,1676.11884,2.24124,Confirmed
Kepler-732 c,155,0.89304,1.27000,741.70000,1.10420,,2.15419,0.01430,0.49000,0.46000,3631.00000,-1.37500,11.72100,199.85000,1054.73136,2.37312,Confirmed
TOI-2262.01,156,1.49374,1.61951,160.00000,2.04400,,3.25490,0.02755,1.25000,1.27881,6328.00000,0.37338,9.67200,3113.05669,2079.01028,2.15198,Candidate
K2-35 b,160,2.39996,1.32000,404.00000,1.99200,,2.30015,0.03100,0.70000,0.62000,4402.71000,-0.80300,11.42300,211.00000,995.70120,1.03180,Confirmed
LHS 1815 b,163,3.81433,1.08800,510.00000,1.34600,1.58000,,0.04040,0.50000,0.50000,3643.00000,-1.38700,7.99300,84.17000,623.18816,2.47848,Confirmed
TOI-1621.01,164,6.45362,1.35386,200.00000,3.58200,,2.40121,0.07990,1.63400,1.01722,7257.00000,0.41255,9.11400,404.97878,1248.58452,1.28339,Candidate
K2-156 b,165,0.81314,1.10000,290.00000,1.30000,,1.36760,0.01490,0.66000,0.62000,4460.00000,-0.83800,10.39100,654.07487,1407.55944,2.27743,Confirmed
TOI-787.01,166,2.12632,1.53607,150.00000,2.17000,,2.97530,0.03654,1.44000,1.31556,6742.00000,0.50807,8.79400,2412.38007,1950.61388,2.55424,Candidate
EPIC 201239401.01,168,0.90565,1.57000,678.00000,1.48800,,3.08776,0.01117,,0.58000,3710.00000,-1.36987,11.73500,,1197.09883,2.69061,Candidate
TOI-2267.01,169,3.49504,1.27344,2004.42690,1.03113,,2.16411,0.02692,0.21305,0.24274,3022.00000,-2.35383,9.45900,6.10992,437.59146,1.85231,Candidate
Kepler-93 b,170,4.72674,1.47800,273.10000,2.88980,4.66000,,0.05343,0.91000,0.92000,5669.00000,-0.10600,8.37000,275.00000,1132.83665,2.72912,Confirmed
TOI-713.02,172,1.87151,1.11348,255.36473,1.01620,,1.42863,0.02601,0.67000,0.65107,4316.70000,-0.87744,8.88300,196.05484,1041.48800,2.36465,Candidate
K2-83 b,174,2.74697,1.24400,920.00000,1.66400,,2.07985,0.03014,0.48000,0.42000,3910.00000,-1.20400,10.76500,41.50000,801.65638,2.25136,Confirmed
TOI-2069.01,175,5.92142,1.04704,140.42859,2.46062,,1.14591,0.06185,0.90000,0.82313,5268.00000,-0.32779,6.78600,122.91385,926.74463,2.08915,Candidate
TOI-714.01,176,4.32394,1.49040,900.00000,1.37200,,2.82670,0.04041,0.47089,0.47314,3731.00000,-1.40802,9.46800,23.93185,615.60753,2.07321,Candidate
Kepler-808 b,177,0.63133,1.46000,434.50000,1.10760,,2.72950,0.01160,0.76000,0.71000,4653.00000,-0.68400,11.87900,726.72000,1743.13444,2.32820,Confirmed
Kepler-994 b,178,1.15117,1.60000,605.90000,1.18810,,3.18859,0.01770,0.56000,0.54000,3934.00000,-1.13900,11.45300,243.98000,1085.98355,2.10090,Confirmed
TOI-486.01,179,1.74470,0.58724,160.00000,1.06600,,0.14421,0.02126,0.42124,0.42668,3470.00000,-1.62379,7.03000,52.60362,749.57274,2.15238,Candidate
TOI-2103.01,180,2.66207,1.21722,220.99942,1.72351,,1.96597,0.03490,0.80000,0.79972,4884.00000,-0.48433,8.92400,269.21692,1127.41931,2.02519,Candidate
EPIC 201111557.01,181,2.30183,1.12000,22680.00000,1.90080,,1.45884,0.03072,0.73000,0.76000,4616.52000,-0.62300,9.22000,252.42986,1109.41763,188.12616,Candidate
TOI-2104.02,183,5.90438,1.46485,410.00000,2.57300,,2.74492,0.05935,0.80000,0.72376,4907.00000,-0.56286,8.65200,77.67923,826.29687,2.15819,Candidate
TOI-1347.02,184,4.84204,1.61774,318.66384,2.41056,,3.24885,0.05497,0.94500,0.84639,5424.00000,-0.25289,9.61600,184.88661,1026.32815,1.54875,Candidate
K2-89 b,185,1.09603,0.61500,346.00000,0.89500,,0.17017,0.01462,0.35000,0.32000,3691.00000,-1.32700,10.10600,78.00000,1072.34910,2.35863,Confirmed
TOI-802.01,186,3.69384,0.63190,71.34778,1.92037,,0.18753,0.04498,0.89000,0.74982,5235.78000,-0.41947,6.27500,188.11540,1030.77996,1.69979,Candidate
Kepler-42 b,188,1.21377,0.78000,1821.00000,0.55320,,0.39888,0.01160,0.13000,0.17000,3068.00000,-2.62000,11.46500,22.39000,571.91421,1.71965,Confirmed
EPIC 203099398.01,189,1.83916,0.62000,151.50000,1.50720,,0.17518,0.01853,,0.48000,3930.00000,-1.14088,7.63700,,1060.30825,2.90501,Candidate
TOI-2269.02,192,2.84114,1.41770,530.00000,1.17400,,2.59660,0.03205,0.54389,0.54848,3872.00000,-1.21524,9.92800,59.32262,772.44036,1.76035,Candidate
K2-211 b,194,0.66953,1.30000,278.00000,1.32480,,2.24129,0.01435,0.88000,0.79000,5360.00000,-0.38600,11.10400,1995.73742,1860.31175,1.98698,Confirmed
K2-223 b,199,0.50557,0.89000,100.00000,0.90000,,0.64003,0.01270,1.06000,1.00000,5859.00000,-0.03500,9.83500,5719.95429,2420.51633,1.69889,Confirmed
K2-58 c,200,2.53726,1.62000,375.00000,1.99600,,3.25656,0.03500,0.89000,0.86000,5413.00000,-0.41200,10.21500,462.00000,1173.61555,1.81248,Confirmed
TOI-201.02,201,5.84924,1.18947,109.00000,3.25700,,1.81000,0.06952,1.31000,1.33031,6461.80000,0.44402,7.84600,575.20632,1363.06257,1.67974,Candidate
EPIC 201785059.01,202,1.39534,0.76000,665.00000,1.23120,,0.36342,0.01016,0.42000,0.28000,3411.50000,-1.78060,10.85400,67.30545,990.91054,3.01947,Candidate
K2-257 b,204,1.60588,0.83000,340.00000,1.30000,,0.49837,0.02160,0.52000,0.50000,3725.00000,-1.38100,9.66100,89.14408,855.23015,1.71832,Confirmed
K2-151 b,205,3.83548,1.49000,983.00000,1.54080,,2.82540,0.03730,0.47000,0.45000,3695.00000,-1.55300,10.11700,20.80000,589.46152,1.48860,Confirmed
TRAPPIST-1 c,207,2.42194,1.09700,7123.00000,0.70050,1.30800,,0.01580,0.09000,0.12000,2566.00000,-3.25700,10.29600,2.21000,339.61068,1.75540,Confirmed
EPIC 206312951.01,208,1.53402,1.13000,396.90708,,,1.50607,0.02093,0.52000,0.52000,3698.00000,-1.34100,11.32800,104.07427,888.98764,1.02766,Candidate
K2-316 b,209,1.13300,1.33000,957.00000,,,2.32981,0.01470,0.41000,0.38000,3436.00000,-1.83000,11.91100,68.44872,800.57350,1.62565,Confirmed
TOI-2287.01,211,11.81207,1.74813,189.02756,3.33242,,3.70583,0.10541,1.12000,1.20105,6037.00000,0.23710,7.72600,155.34814,982.62179,1.76440,Candidate
K2-187 b,212,0.77401,1.20000,237.00000,1.57920,,1.86811,0.01640,0.97000,0.83000,5438.00000,-0.21000,11.19600,2292.51562,1925.91872,1.68298,Confirmed
Kepler-1019 b,216,1.41123,1.46000,395.70000,1.39120,,2.72950,0.02210,0.70000,0.67000,4433.00000,-0.80600,11.00300,330.25000,1177.23656,1.70389,Confirmed
TOI-797.02,217,4.14000,1.29716,739.69197,1.05237,,2.23298,0.03927,0.47147,0.47370,3607.00000,-1.46571,9.55700,22.18728,604.06808,1.61276,Candidate
TOI-1453.02,220,4.31351,1.18760,285.00000,1.88400,,1.79986,0.04834,0.81000,0.70962,4920.00000,-0.57539,8.68600,113.75304,908.97227,1.83736,Candidate
Kepler-446 b,223,1.56541,1.50000,2754.60000,0.64560,,2.85767,0.01820,0.22000,0.24000,3359.00000,-2.24800,12.82700,16.21000,565.61925,1.18863,Confirmed
EPIC 211428897.02,225,2.17801,0.67000,453.00000,1.27680,,0.23132,0.01660,0.40000,0.30000,3511.00000,-1.63900,9.62400,39.11271,840.86732,2.41484,Candidate
Kepler-617 b,226,1.68270,1.32000,703.80000,1.38000,,2.30015,0.02190,0.51000,0.48000,3712.00000,-1.30500,11.57300,100.30000,887.33543,1.61311,Confirmed
K2-165 b,229,2.35499,1.27400,213.15598,,,2.16572,0.03256,0.83000,0.80000,5185.00000,-0.37000,9.53600,402.48434,1246.65742,1.66164,Confirmed
EPIC 206192335.01,230,3.59922,1.63000,360.00000,1.89600,,3.29076,0.04633,,0.81000,5459.00000,-0.25870,10.25000,205.05023,1114.14659,1.53164,Candidate
TOI-873.01,231,5.93121,1.68824,916.30531,2.05770,,3.49285,0.05150,0.51785,0.52040,3694.00000,-1.34264,9.95100,17.13234,566.25760,1.31904,Candidate
K2-138 b,232,2.35309,1.51000,259.11684,2.01000,3.10000,,0.03385,0.94000,0.86000,5356.30000,-0.28700,10.30500,486.00000,1282.42077,1.43661,Confirmed
K2-65 b,233,12.64750,1.58000,391.00000,3.43000,,3.12122,0.10140,0.87000,0.84000,5213.00000,-0.32800,8.34400,45.00000,723.67055,1.57872,Confirmed
K2-221 b,236,2.39909,1.67900,312.00000,2.50320,,3.46047,0.03519,1.01000,0.95000,5716.00000,-0.06400,10.85200,696.90947,1430.05905,1.51141,Confirmed
K2-165 c,237,4.38274,1.55400,317.14706,,,3.03452,0.04926,0.83000,0.80000,5185.00000,-0.37000,9.53600,175.82203,1013.51039,1.64376,Confirmed
Kepler-658 b,238,1.28708,1.63000,729.40000,1.50860,,3.29076,0.01880,0.63000,0.60000,4103.00000,-0.89900,12.62700,223.75000,1209.84840,1.72400,Confirmed
TOI-805.01,239,4.11776,1.27615,1948.14058,1.21268,,2.17192,0.03189,0.25524,0.28113,3366.00000,-2.03904,10.83800,8.98604,481.89446,1.20229,Candidate
K2-133 b,244,3.07133,1.34000,710.00000,1.22000,,2.35963,0.03194,0.46000,0.46000,3655.00000,-1.47900,10.27900,32.53345,664.72563,1.44610,Confirmed
